total_std_bin,total_std_lo,total_std_hi,pred_bin,pred_lo,pred_hi,n,mean_alpha,std_alpha,mean_GT,mean_pred,mean_total_std,axis,eps
13,0.3157894736842105,0.3421052631578947,2,-0.45699999999999996,-0.344,13234,0.010897471569478512,0.5856519341468811,-0.33415332436561584,-0.3705451488494873,1.2986379861831665,x,1.8_1.9_2.0_2.1_2.2
13,0.3157894736842105,0.3421052631578947,3,-0.344,-0.23099999999999998,29150,0.090481236577034,0.5743908286094666,-0.2751103341579437,-0.28848832845687866,1.851263403892517,x,1.8_1.9_2.0_2.1_2.2
13,0.3157894736842105,0.3421052631578947,4,-0.23099999999999998,-0.118,35213,0.37268760800361633,1.4463186264038086,-0.18863199651241302,-0.17334040999412537,1.5770585536956787,x,1.8_1.9_2.0_2.1_2.2
13,0.3157894736842105,0.3421052631578947,5,-0.118,-0.0050000000000000044,36272,5.102413654327393,30.14422607421875,-0.12628690898418427,-0.05697309970855713,1.0923211574554443,x,1.8_1.9_2.0_2.1_2.2
13,0.3157894736842105,0.3421052631578947,7,0.095,0.19,20429,0.5987244248390198,1.6967787742614746,0.22079327702522278,0.14248137176036835,1.3308987617492676,x,1.8_1.9_2.0_2.1_2.2
13,0.3157894736842105,0.3421052631578947,8,0.19,0.28500000000000003,15294,0.12812766432762146,0.5033817291259766,0.2800697088241577,0.23513273894786835,1.8283315896987915,x,1.8_1.9_2.0_2.1_2.2
13,0.3157894736842105,0.3421052631578947,9,0.28500000000000003,0.38,8299,0.06976038217544556,0.2579491138458252,0.34411630034446716,0.31974756717681885,1.5649381875991821,x,1.8_1.9_2.0_2.1_2.2
13,0.3157894736842105,0.3421052631578947,10,0.38,0.475,1269,0.056243181228637695,0.16021186113357544,0.4588703513145447,0.4188276529312134,2.1908364295959473,x,1.8_1.9_2.0_2.1_2.2
13,0.3157894736842105,0.3421052631578947,11,0.475,0.57,234,-0.004145103972405195,0.08172424137592316,0.5143586993217468,0.5124470591545105,1.8093926906585693,x,1.8_1.9_2.0_2.1_2.2
13,0.3157894736842105,0.3421052631578947,12,0.57,inf,55,-0.09900110960006714,0.06095001474022865,0.5235771536827087,0.5808950066566467,1.389776349067688,x,1.8_1.9_2.0_2.1_2.2
14,0.3421052631578947,0.3684210526315789,1,-0.57,-0.45699999999999996,375,-0.06581142544746399,0.3878410756587982,-0.4401044249534607,-0.48693132400512695,1.2569262981414795,x,1.8_1.9_2.0_2.1_2.2
14,0.3421052631578947,0.3684210526315789,2,-0.45699999999999996,-0.344,12548,0.007868361659348011,0.5849656462669373,-0.331787109375,-0.37042590975761414,1.3516758680343628,x,1.8_1.9_2.0_2.1_2.2
14,0.3421052631578947,0.3684210526315789,3,-0.344,-0.23099999999999998,28033,0.07799018919467926,0.5556458234786987,-0.2731083631515503,-0.2885890007019043,1.9119216203689575,x,1.8_1.9_2.0_2.1_2.2
14,0.3421052631578947,0.3684210526315789,4,-0.23099999999999998,-0.118,33516,0.3281099498271942,1.4049094915390015,-0.18615175783634186,-0.17381635308265686,1.640258550643921,x,1.8_1.9_2.0_2.1_2.2
14,0.3421052631578947,0.3684210526315789,5,-0.118,-0.0050000000000000044,29011,2.251893997192383,22.148208618164062,-0.09734492748975754,-0.060315217822790146,1.2836569547653198,x,1.8_1.9_2.0_2.1_2.2
14,0.3421052631578947,0.3684210526315789,7,0.095,0.19,18668,0.5580988526344299,1.571947693824768,0.22187700867652893,0.14259378612041473,1.4254639148712158,x,1.8_1.9_2.0_2.1_2.2
14,0.3421052631578947,0.3684210526315789,8,0.19,0.28500000000000003,14573,0.12237591296434402,0.45814594626426697,0.2804912328720093,0.23506616055965424,1.9025379419326782,x,1.8_1.9_2.0_2.1_2.2
14,0.3421052631578947,0.3684210526315789,9,0.28500000000000003,0.38,7808,0.06809867918491364,0.24398471415042877,0.34489384293556213,0.3195725679397583,1.6426371335983276,x,1.8_1.9_2.0_2.1_2.2
14,0.3421052631578947,0.3684210526315789,10,0.38,0.475,1237,0.055009592324495316,0.1479228287935257,0.45865151286125183,0.41850173473358154,2.2390036582946777,x,1.8_1.9_2.0_2.1_2.2
14,0.3421052631578947,0.3684210526315789,11,0.475,0.57,216,-0.002893546363338828,0.07899594306945801,0.514469563961029,0.5122546553611755,1.93278169631958,x,1.8_1.9_2.0_2.1_2.2
14,0.3421052631578947,0.3684210526315789,12,0.57,inf,54,-0.0970473513007164,0.05834546312689781,0.523530125617981,0.5810379981994629,1.40934157371521,x,1.8_1.9_2.0_2.1_2.2
15,0.3684210526315789,0.39473684210526316,1,-0.57,-0.45699999999999996,345,-0.07002640515565872,0.27181023359298706,-0.4412791430950165,-0.486359566450119,1.33533775806427,x,1.8_1.9_2.0_2.1_2.2
15,0.3684210526315789,0.39473684210526316,2,-0.45699999999999996,-0.344,11924,0.005920050665736198,0.5755284428596497,-0.3298724591732025,-0.370313823223114,1.4038352966308594,x,1.8_1.9_2.0_2.1_2.2
15,0.3684210526315789,0.39473684210526316,3,-0.344,-0.23099999999999998,26955,0.06607866287231445,0.5330987572669983,-0.2710530161857605,-0.28885185718536377,1.974182367324829,x,1.8_1.9_2.0_2.1_2.2
15,0.3684210526315789,0.39473684210526316,4,-0.23099999999999998,-0.118,31628,0.2747516930103302,1.3289235830307007,-0.18300892412662506,-0.17479005455970764,1.7169182300567627,x,1.8_1.9_2.0_2.1_2.2
15,0.3684210526315789,0.39473684210526316,5,-0.118,-0.0050000000000000044,25138,1.3059557676315308,19.531505584716797,-0.0808458998799324,-0.060808952897787094,1.4267303943634033,x,1.8_1.9_2.0_2.1_2.2
15,0.3684210526315789,0.39473684210526316,7,0.095,0.19,17214,0.5340406894683838,1.4070767164230347,0.22390656173229218,0.14266756176948547,1.5159553289413452,x,1.8_1.9_2.0_2.1_2.2
15,0.3684210526315789,0.39473684210526316,8,0.19,0.28500000000000003,13926,0.12099488824605942,0.4220986068248749,0.281179815530777,0.23490172624588013,1.9744704961776733,x,1.8_1.9_2.0_2.1_2.2
15,0.3684210526315789,0.39473684210526316,9,0.28500000000000003,0.38,7305,0.06663712114095688,0.22756074368953705,0.3457101881504059,0.31926342844963074,1.731316089630127,x,1.8_1.9_2.0_2.1_2.2
15,0.3684210526315789,0.39473684210526316,10,0.38,0.475,1207,0.05343141034245491,0.14053839445114136,0.45823484659194946,0.41795358061790466,2.28586745262146,x,1.8_1.9_2.0_2.1_2.2
15,0.3684210526315789,0.39473684210526316,11,0.475,0.57,204,-0.0030160262249410152,0.06494896113872528,0.5151419043540955,0.5129074454307556,2.0256574153900146,x,1.8_1.9_2.0_2.1_2.2
15,0.3684210526315789,0.39473684210526316,12,0.57,inf,53,-0.095013327896595,0.054670244455337524,0.5236628651618958,0.5812438130378723,1.4291008710861206,x,1.8_1.9_2.0_2.1_2.2
16,0.39473684210526316,0.42105263157894735,1,-0.57,-0.45699999999999996,322,-0.07762643694877625,0.20872624218463898,-0.4390149414539337,-0.4855181872844696,1.4035943746566772,x,1.8_1.9_2.0_2.1_2.2
16,0.39473684210526316,0.42105263157894735,2,-0.45699999999999996,-0.344,11360,0.0035726679489016533,0.5624369978904724,-0.32801157236099243,-0.37024369835853577,1.454598069190979,x,1.8_1.9_2.0_2.1_2.2
16,0.39473684210526316,0.42105263157894735,3,-0.344,-0.23099999999999998,26038,0.05767213925719261,0.5142661333084106,-0.2693268358707428,-0.28903961181640625,2.030287504196167,x,1.8_1.9_2.0_2.1_2.2
16,0.39473684210526316,0.42105263157894735,4,-0.23099999999999998,-0.118,29443,0.221134215593338,1.242365837097168,-0.17876571416854858,-0.17559275031089783,1.8160268068313599,x,1.8_1.9_2.0_2.1_2.2
16,0.39473684210526316,0.42105263157894735,5,-0.118,-0.0050000000000000044,22005,0.5290928483009338,16.869426727294922,-0.06372684985399246,-0.06145574897527695,1.5755826234817505,x,1.8_1.9_2.0_2.1_2.2
16,0.39473684210526316,0.42105263157894735,7,0.095,0.19,16289,0.5109005570411682,1.316496729850769,0.22430764138698578,0.14279794692993164,1.5804238319396973,x,1.8_1.9_2.0_2.1_2.2
16,0.39473684210526316,0.42105263157894735,8,0.19,0.28500000000000003,13451,0.12073151767253876,0.39797621965408325,0.2818882465362549,0.2347937524318695,2.0307390689849854,x,1.8_1.9_2.0_2.1_2.2
16,0.39473684210526316,0.42105263157894735,9,0.28500000000000003,0.38,6935,0.06530014425516129,0.21849709749221802,0.3463905453681946,0.319001704454422,1.8033409118652344,x,1.8_1.9_2.0_2.1_2.2
16,0.39473684210526316,0.42105263157894735,10,0.38,0.475,1179,0.05234483256936073,0.13676989078521729,0.4581744074821472,0.41758468747138977,2.331052541732788,x,1.8_1.9_2.0_2.1_2.2
16,0.39473684210526316,0.42105263157894735,11,0.475,0.57,194,-0.002728233113884926,0.058478306978940964,0.5151497721672058,0.5124801993370056,2.1103954315185547,x,1.8_1.9_2.0_2.1_2.2
