total_std_bin,total_std_lo,total_std_hi,pred_bin,pred_lo,pred_hi,n,mean_alpha,std_alpha,mean_GT,mean_pred,mean_total_std,axis,eps
15,0.3684210526315789,0.39473684210526316,3,-0.344,-0.23099999999999998,6731,-0.019520074129104614,0.42285627126693726,-0.2476302981376648,-0.2891169488430023,2.937617540359497,x,2.0
15,0.3684210526315789,0.39473684210526316,4,-0.23099999999999998,-0.118,10552,0.2962469458580017,1.1718051433563232,-0.1736973524093628,-0.17064310610294342,2.547956943511963,x,2.0
15,0.3684210526315789,0.39473684210526316,5,-0.118,-0.0050000000000000044,7574,-0.7493661642074585,14.126092910766602,0.0017652407987043262,-0.06547626852989197,1.7332203388214111,x,2.0
15,0.3684210526315789,0.39473684210526316,7,0.095,0.19,5281,0.32667210698127747,0.7583554983139038,0.2145383059978485,0.14086183905601501,1.559830904006958,x,2.0
15,0.3684210526315789,0.39473684210526316,8,0.19,0.28500000000000003,4585,0.07831001281738281,0.3118349611759186,0.27413028478622437,0.23635262250900269,1.8266429901123047,x,2.0
15,0.3684210526315789,0.39473684210526316,9,0.28500000000000003,0.38,2904,0.05434181168675423,0.19849713146686554,0.3394533395767212,0.3186885714530945,1.6772656440734863,x,2.0
15,0.3684210526315789,0.39473684210526316,10,0.38,0.475,467,0.044890906661748886,0.15773099660873413,0.4463266432285309,0.4051145017147064,1.754421353340149,x,2.0
16,0.39473684210526316,0.42105263157894735,1,-0.57,-0.45699999999999996,200,-0.13264663517475128,0.07327546924352646,-0.42415088415145874,-0.4881402254104614,1.3718146085739136,x,2.0
16,0.39473684210526316,0.42105263157894735,2,-0.45699999999999996,-0.344,4582,0.000909053604118526,0.36978697776794434,-0.34477701783180237,-0.36932921409606934,1.472283959388733,x,2.0
16,0.39473684210526316,0.42105263157894735,3,-0.344,-0.23099999999999998,6529,-0.019439199939370155,0.3967686891555786,-0.24726258218288422,-0.2892109155654907,3.016688108444214,x,2.0
16,0.39473684210526316,0.42105263157894735,4,-0.23099999999999998,-0.118,10044,0.2542252242565155,1.0609021186828613,-0.1695103496313095,-0.17122283577919006,2.6575639247894287,x,2.0
16,0.39473684210526316,0.42105263157894735,5,-0.118,-0.0050000000000000044,7403,-0.7995211482048035,13.92994213104248,0.004462083801627159,-0.06551254540681839,1.7644364833831787,x,2.0
16,0.39473684210526316,0.42105263157894735,7,0.095,0.19,5105,0.3241313397884369,0.7143438458442688,0.2158721536397934,0.14103251695632935,1.6004908084869385,x,2.0
16,0.39473684210526316,0.42105263157894735,8,0.19,0.28500000000000003,4406,0.0814814567565918,0.2921868860721588,0.2748469114303589,0.23598712682724,1.885390043258667,x,2.0
16,0.39473684210526316,0.42105263157894735,9,0.28500000000000003,0.38,2692,0.051103003323078156,0.18818549811840057,0.33988329768180847,0.3184731602668762,1.7793748378753662,x,2.0
16,0.39473684210526316,0.42105263157894735,10,0.38,0.475,465,0.04543200507760048,0.15786759555339813,0.4466429054737091,0.40521910786628723,1.7603391408920288,x,2.0
17,0.42105263157894735,0.4473684210526315,1,-0.57,-0.45699999999999996,200,-0.13264663517475128,0.07327546924352646,-0.42415088415145874,-0.4881402254104614,1.3718146085739136,x,2.0
17,0.42105263157894735,0.4473684210526315,2,-0.45699999999999996,-0.344,4344,-0.00014571122301276773,0.36297279596328735,-0.3436734974384308,-0.3693595230579376,1.5306105613708496,x,2.0
17,0.42105263157894735,0.4473684210526315,3,-0.344,-0.23099999999999998,6374,-0.0187214445322752,0.3740711808204651,-0.24705542623996735,-0.2892357110977173,3.0801315307617188,x,2.0
17,0.42105263157894735,0.4473684210526315,4,-0.23099999999999998,-0.118,9560,0.21622751653194427,0.9497567415237427,-0.16471543908119202,-0.1716441959142685,2.771475076675415,x,2.0
17,0.42105263157894735,0.4473684210526315,5,-0.118,-0.0050000000000000044,7157,-0.8004404306411743,10.981888771057129,0.004775632172822952,-0.06610622256994247,1.8110358715057373,x,2.0
17,0.42105263157894735,0.4473684210526315,7,0.095,0.19,4929,0.32262593507766724,0.6773059964179993,0.2174021303653717,0.14115552604198456,1.6430350542068481,x,2.0
17,0.42105263157894735,0.4473684210526315,8,0.19,0.28500000000000003,4262,0.08397602289915085,0.28004738688468933,0.2756529748439789,0.23575453460216522,1.9353424310684204,x,2.0
17,0.42105263157894735,0.4473684210526315,9,0.28500000000000003,0.38,2520,0.04917551949620247,0.17631414532661438,0.3407020568847656,0.31853634119033813,1.873039722442627,x,2.0
17,0.42105263157894735,0.4473684210526315,10,0.38,0.475,460,0.04432900995016098,0.1539696305990219,0.4458388686180115,0.4047357738018036,1.7750048637390137,x,2.0
18,0.4473684210526315,0.47368421052631576,1,-0.57,-0.45699999999999996,200,-0.13264663517475128,0.07327546924352646,-0.42415088415145874,-0.4881402254104614,1.3718146085739136,x,2.0
18,0.4473684210526315,0.47368421052631576,2,-0.45699999999999996,-0.344,4140,-0.00036058679688721895,0.35705000162124634,-0.3428005576133728,-0.3694291412830353,1.5846638679504395,x,2.0
18,0.4473684210526315,0.47368421052631576,3,-0.344,-0.23099999999999998,6226,-0.018737465143203735,0.35498854517936707,-0.2467617243528366,-0.28935977816581726,3.143040418624878,x,2.0
18,0.4473684210526315,0.47368421052631576,4,-0.23099999999999998,-0.118,9161,0.19294250011444092,0.8909692168235779,-0.1615511178970337,-0.17156139016151428,2.873288869857788,x,2.0
18,0.4473684210526315,0.47368421052631576,5,-0.118,-0.0050000000000000044,6933,-0.798939049243927,9.795337677001953,0.0047713639214634895,-0.06663206219673157,1.8555424213409424,x,2.0
18,0.4473684210526315,0.47368421052631576,7,0.095,0.19,4781,0.3207733631134033,0.6486752033233643,0.21852797269821167,0.14115186035633087,1.680443286895752,x,2.0
18,0.4473684210526315,0.47368421052631576,8,0.19,0.28500000000000003,4148,0.08639205247163773,0.26587483286857605,0.27647629380226135,0.23571573197841644,1.9766067266464233,x,2.0
18,0.4473684210526315,0.47368421052631576,9,0.28500000000000003,0.38,2410,0.04657624289393425,0.16209903359413147,0.3411780893802643,0.3187587857246399,1.9387494325637817,x,2.0
18,0.4473684210526315,0.47368421052631576,10,0.38,0.475,456,0.044813647866249084,0.1526365876197815,0.4460707902908325,0.40478086471557617,1.7867695093154907,x,2.0
19,0.47368421052631576,0.5,1,-0.57,-0.45699999999999996,199,-0.133409321308136,0.07146280258893967,-0.42350584268569946,-0.48795637488365173,1.3763614892959595,x,2.0
