axis,gt_lo,gt_hi,mean_GT,total_std_lo,total_std_hi,mean_total_std,n,mean_bias_DER,med_bias_DER,mean_bias_gs,med_bias_gs
x,-0.21999999999999964,-0.1699999999999996,-0.1950223445892334,0.00876207547262311,0.010223187506198883,0.009504301473498344,345277,0.15639816224575043,0.10652703791856766,0.15614308416843414,0.1076691597700119
x,-0.21999999999999964,-0.1699999999999996,-0.1950223445892334,0.010223187506198883,0.01171905742958188,0.01095370389521122,345281,0.14966385066509247,0.09952391684055328,0.14952562749385834,0.10072937607765198
x,-0.21999999999999964,-0.1699999999999996,-0.1950223445892334,0.01171905742958188,0.013580771908164025,0.012615347281098366,345279,0.15572963654994965,0.12297310680150986,0.15519511699676514,0.1256445199251175
x,-0.21999999999999964,-0.1699999999999996,-0.1950223445892334,0.013580771908164025,0.016216854564845562,0.014810928143560886,345279,0.16584953665733337,0.1366184502840042,0.16386117041110992,0.13992848992347717
x,-0.21999999999999964,-0.1699999999999996,-0.1950223445892334,0.016216854564845562,0.020770744234323502,0.01827973686158657,345279,0.1738959401845932,0.1382976472377777,0.17086875438690186,0.1443239152431488
x,-0.21999999999999964,-0.1699999999999996,-0.1950223445892334,0.020770744234323502,0.030633699335157867,0.024956855922937393,345279,0.187709242105484,0.15882815420627594,0.17977583408355713,0.17066903412342072
x,-0.21999999999999964,-0.1699999999999996,-0.1950223445892334,0.030633699335157867,0.059820031374692925,0.04203488677740097,345279,0.20593631267547607,0.18789570033550262,0.1927199363708496,0.19040489196777344
x,-0.21999999999999964,-0.1699999999999996,-0.1950223445892334,0.059820031374692925,0.23226298391819022,0.11716410517692566,345279,0.22614890336990356,0.22981074452400208,0.2015533745288849,0.19599153101444244
x,-0.21999999999999964,-0.1699999999999996,-0.1950223445892334,0.23226298391819022,319.5972900390625,2.454893112182617,345278,0.24907413125038147,0.2686461806297302,0.20452454686164856,0.19794122874736786
x,-0.1699999999999996,-0.11999999999999955,-0.14500699937343597,0.0051542180590331554,0.008734997175633908,0.007809966802597046,344151,0.11063890159130096,0.0834144875407219,0.110999695956707,0.08409187197685242
x,-0.1699999999999996,-0.11999999999999955,-0.14500699937343597,0.008734997175633908,0.010171142220497132,0.009462155401706696,344151,0.11742769926786423,0.07651609927415848,0.11720089614391327,0.07747304439544678
x,-0.1699999999999996,-0.11999999999999955,-0.14500699937343597,0.010171142220497132,0.011663031112402678,0.010904166847467422,344151,0.11455735564231873,0.07789389044046402,0.1146121397614479,0.07924787700176239
x,-0.1699999999999996,-0.11999999999999955,-0.14500699937343597,0.011663031112402678,0.013388028368353844,0.012496179901063442,344149,0.11481348425149918,0.0811065137386322,0.11423299461603165,0.08219477534294128
x,-0.1699999999999996,-0.11999999999999955,-0.14500699937343597,0.013388028368353844,0.01573400106281042,0.014486794359982014,344152,0.12182611972093582,0.09619541466236115,0.1203487440943718,0.09772531688213348
x,-0.1699999999999996,-0.11999999999999955,-0.14500699937343597,0.01573400106281042,0.01964255757629871,0.017483100295066833,344151,0.13123194873332977,0.10360527783632278,0.12922720611095428,0.10549745708703995
x,-0.1699999999999996,-0.11999999999999955,-0.14500699937343597,0.01964255757629871,0.027571993879973885,0.023060809820890427,344150,0.14272837340831757,0.11392524838447571,0.13768760859966278,0.11980506777763367
x,-0.1699999999999996,-0.11999999999999955,-0.14500699937343597,0.027571993879973885,0.0501560002565384,0.036498021334409714,344151,0.15380190312862396,0.13079851865768433,0.14459237456321716,0.13672944903373718
x,-0.1699999999999996,-0.11999999999999955,-0.14500699937343597,0.0501560002565384,0.18940180242061644,0.09568535536527634,344151,0.16773474216461182,0.16291941702365875,0.1471305787563324,0.14507396519184113
x,-0.1699999999999996,-0.11999999999999955,-0.14500699937343597,0.18940180242061644,304.05255126953125,2.0181102752685547,344150,0.19339174032211304,0.2019692063331604,0.1544877290725708,0.146867573261261
x,-0.11999999999999955,-0.06999999999999951,-0.0949023887515068,0.0051116375252604485,0.008720380999147893,0.007794210687279701,344308,0.06759702414274216,0.049243588000535965,0.0678265243768692,0.05007152631878853
x,-0.11999999999999955,-0.06999999999999951,-0.0949023887515068,0.008720380999147893,0.010156606882810592,0.009444530121982098,344307,0.07264348119497299,0.04141383618116379,0.07225218415260315,0.041695162653923035
x,-0.11999999999999955,-0.06999999999999951,-0.0949023887515068,0.010156606882810592,0.011616806127130985,0.010873952880501747,344307,0.0782940462231636,0.05209355056285858,0.07823923975229263,0.053379498422145844
x,-0.11999999999999955,-0.06999999999999951,-0.0949023887515068,0.011616806127130985,0.01328943129628897,0.012416333891451359,344308,0.07124838978052139,0.045483388006687164,0.07068315148353577,0.04638870805501938
x,-0.11999999999999955,-0.06999999999999951,-0.0949023887515068,0.01328943129628897,0.015502260066568851,0.014336959458887577,344307,0.07419902086257935,0.04883013665676117,0.0728820264339447,0.05004183202981949
x,-0.11999999999999955,-0.06999999999999951,-0.0949023887515068,0.015502260066568851,0.019020849466323847,0.017070051282644272,344307,0.08804664760828018,0.06662651151418686,0.08627451956272125,0.06896615773439407
x,-0.11999999999999955,-0.06999999999999951,-0.0949023887515068,0.019020849466323847,0.025944337248802178,0.02204272523522377,344308,0.09719628840684891,0.07405554503202438,0.09282063692808151,0.07750370353460312
x,-0.11999999999999955,-0.06999999999999951,-0.0949023887515068,0.025944337248802178,0.044910317659378106,0.0334501750767231,344307,0.10809142142534256,0.08520004153251648,0.10132018476724625,0.08878219127655029
x,-0.11999999999999955,-0.06999999999999951,-0.0949023887515068,0.044910317659378106,0.15973966270685241,0.08179032057523727,344307,0.11100029945373535,0.09735298901796341,0.09472230076789856,0.09205422550439835
x,-0.11999999999999955,-0.06999999999999951,-0.0949023887515068,0.15973966270685241,145.2421417236328,1.7089247703552246,344307,0.1385214775800705,0.13825657963752747,0.10156011581420898,0.09599391371011734
x,-0.06999999999999951,-0.019999999999999463,-0.044670235365629196,0.005459710489958525,0.008737259544432163,0.00781081710010767,358345,0.0280186515301466,0.019022783264517784,0.02803655155003071,0.019449125975370407
x,-0.06999999999999951,-0.019999999999999463,-0.044670235365629196,0.008737259544432163,0.01016392931342125,0.009459471330046654,358345,0.042029548436403275,0.028893640264868736,0.041491925716400146,0.028169766068458557
x,-0.06999999999999951,-0.019999999999999463,-0.044670235365629196,0.01016392931342125,0.011616687290370464,0.010884019546210766,358345,0.04124408960342407,0.026267431676387787,0.04073379188776016,0.026286758482456207
x,-0.06999999999999951,-0.019999999999999463,-0.044670235365629196,0.011616687290370464,0.013254891149699688,0.012401801533997059,358345,0.036976538598537445,0.020716840401291847,0.0361451655626297,0.020077025517821312
x,-0.06999999999999951,-0.019999999999999463,-0.044670235365629196,0.013254891149699688,0.015481679700314999,0.014300691895186901,358345,0.041351158171892166,0.0245237834751606,0.03978043422102928,0.024211272597312927
x,-0.06999999999999951,-0.019999999999999463,-0.044670235365629196,0.015481679700314999,0.018847091123461723,0.01698937453329563,358345,0.04862183332443237,0.02954358421266079,0.04638868197798729,0.03064149245619774
x,-0.06999999999999951,-0.019999999999999463,-0.044670235365629196,0.018847091123461723,0.02548489160835743,0.021754691377282143,358345,0.058402515947818756,0.043740853667259216,0.05510898679494858,0.04359899461269379
x,-0.06999999999999951,-0.019999999999999463,-0.044670235365629196,0.02548489160835743,0.04370375722646713,0.03273005783557892,358345,0.06539960205554962,0.04958837479352951,0.05920040234923363,0.046501316130161285
x,-0.06999999999999951,-0.019999999999999463,-0.044670235365629196,0.04370375722646713,0.1517350673675537,0.07906919717788696,358345,0.0658208355307579,0.05656703934073448,0.051910050213336945,0.04520596191287041
x,-0.06999999999999951,-0.019999999999999463,-0.044670235365629196,0.1517350673675537,188.4728546142578,1.778629183769226,358345,0.08650707453489304,0.09409423172473907,0.05316143482923508,0.04599609598517418
